abilities,color,description,height,id,name,thumbnail,type,weight
static,yellow,"When its electricity builds, its muscles are stimulated, and it becomes more aggressive than usual.",8,26,raichu,"https://assets.pokemon.com/assets/cms2/img/pokedex/detail/026.png",electric,300
sand-veil,yellow,"It burrows and lives underground. If threatened, it curls itself up into a ball for protection.",6,27,sandshrew,"https://assets.pokemon.com/assets/cms2/img/pokedex/detail/027.png",ground,120
sand-veil,yellow,"If it digs at an incredible pace, it may snap off its spikes and claws. They grow back in a day.",10,28,sandslash,"https://assets.pokemon.com/assets/cms2/img/pokedex/detail/028.png",ground,295
rivalry;poison-point,blue,"Although small, its venomous barbs render this Pokémon dangerous. The female has smaller horns.",4,29,nidoran-f,"https://assets.pokemon.com/assets/cms2/img/pokedex/detail/029.png",poison,70
rivalry;poison-point,blue,"The female has a gentle temperament. It emits ultrasonic cries that have the power to befuddle foes.",8,30,nidorina,"https://assets.pokemon.com/assets/cms2/img/pokedex/detail/030.png",poison,200
rivalry;poison-point,blue,"It uses its scaly, rugged body to seal the entrance of its nest and protect its young from predators.",13,31,nidoqueen,"https://assets.pokemon.com/assets/cms2/img/pokedex/detail/031.png",ground;poison,600
rivalry;poison-point,purple,"It scans its surroundings by raising its ears out of the grass. Its toxic horn is for protection.",5,32,nidoran-m,"https://assets.pokemon.com/assets/cms2/img/pokedex/detail/032.png",poison,90
rivalry;poison-point,purple,"It raises its big ears to check its surroundings. If it senses anything, it attacks immediately.",9,33,nidorino,"https://assets.pokemon.com/assets/cms2/img/pokedex/detail/033.png",poison,195
rivalry;poison-point,purple,"It is recognized by its rock-hard hide and its extended horn. Be careful with the horn, as it contains venom.",14,34,nidoking,"https://assets.pokemon.com/assets/cms2/img/pokedex/detail/034.png",ground;poison,620
magic-guard;cute-charm,pink,"It is said that happiness will come to those who see a gathering of Clefairy dancing under a full moon.",6,35,clefairy,"https://assets.pokemon.com/assets/cms2/img/pokedex/detail/035.png",fairy,75
magic-guard;cute-charm,pink,"Its hearing is so acute it can hear a pin drop over half a mile away. It lives on quiet mountains.",13,36,clefable,"https://assets.pokemon.com/assets/cms2/img/pokedex/detail/036.png",fairy,400
flash-fire,brown,"When it is born, it has just one snow-white tail. The tail splits from its tip as it grows older.",6,37,vulpix,"https://assets.pokemon.com/assets/cms2/img/pokedex/detail/037.png",fire,99
flash-fire,yellow,"It has nine long tails and fur that gleams gold. It is said to live for 1,000 years.",11,38,ninetales,"https://assets.pokemon.com/assets/cms2/img/pokedex/detail/038.png",fire,199
competitive;cute-charm,pink,"It captivates foes with its huge, round eyes, then lulls them to sleep by singing a soothing melody.",5,39,jigglypuff,"https://assets.pokemon.com/assets/cms2/img/pokedex/detail/039.png",fairy;normal,55
competitive;cute-charm,pink,"Their fur feels so good that if two of them snuggle together, they won’t want to be separated.",10,40,wigglytuff,"https://assets.pokemon.com/assets/cms2/img/pokedex/detail/040.png",fairy;normal,120
inner-focus,purple,"Even though it has no eyes, it can sense obstacles using ultrasonic waves it emits from its mouth.",8,41,zubat,"https://assets.pokemon.com/assets/cms2/img/pokedex/detail/041.png",flying;poison,75
inner-focus,purple,"Once it bites, it will not stop draining energy from the victim even if it gets too heavy to fly.",16,42,golbat,"https://assets.pokemon.com/assets/cms2/img/pokedex/detail/042.png",flying;poison,550
chlorophyll,blue,"During the day, it stays in the cold underground to avoid the sun. It grows by bathing in moonlight.",5,43,oddish,"https://assets.pokemon.com/assets/cms2/img/pokedex/detail/043.png",poison;grass,54
chlorophyll,blue,"Smells incredibly foul! However, around one out of a thousand people enjoy sniffing its nose-bending stink.",8,44,gloom,"https://assets.pokemon.com/assets/cms2/img/pokedex/detail/044.png",poison;grass,86
chlorophyll,red,"The larger its petals, the more toxic pollen it contains. Its big head is heavy and hard to hold up.",12,45,vileplume,"https://assets.pokemon.com/assets/cms2/img/pokedex/detail/045.png",poison;grass,186
dry-skin;effect-spore,red,"Growing out of the bug’s back are mushrooms called tochukaso. The mushrooms grow with the bug host.",3,46,paras,"https://assets.pokemon.com/assets/cms2/img/pokedex/detail/046.png",grass;bug,54
dry-skin;effect-spore,red,"A mushroom grown larger than the host’s body controls Parasect. It scatters poisonous spores.",10,47,parasect,"https://assets.pokemon.com/assets/cms2/img/pokedex/detail/047.png",grass;bug,295
"tinted-lens;compound-eyes",purple,"Its big eyes are actually clusters of tiny eyes. At night, its kind is drawn by light.",10,48,venonat,"https://assets.pokemon.com/assets/cms2/img/pokedex/detail/048.png",poison;bug,300
tinted-lens;shield-dust,purple,"The scales it scatters will paralyze anyone who touches them, making that person unable to stand.",15,49,venomoth,"https://assets.pokemon.com/assets/cms2/img/pokedex/detail/049.png",poison;bug,125
arena-trap;sand-veil,brown,"Lives about one yard underground where it feeds on plant roots. It sometimes appears aboveground.",2,50,diglett,"https://assets.pokemon.com/assets/cms2/img/pokedex/detail/050.png",ground,8
arena-trap;sand-veil,brown,"In battle, it digs through the ground and strikes the unsuspecting foe from an unexpected direction.",7,51,dugtrio,"https://assets.pokemon.com/assets/cms2/img/pokedex/detail/051.png",ground,333
technician;pickup,yellow,"It is nocturnal in nature. If it spots something shiny, its eyes glitter brightly.",4,52,meowth,"https://assets.pokemon.com/assets/cms2/img/pokedex/detail/052.png",normal,42
technician;limber,yellow,"Although its fur has many admirers, it is tough to raise as a pet because of its fickle meanness.",10,53,persian,"https://assets.pokemon.com/assets/cms2/img/pokedex/detail/053.png",normal,320
cloud-nine;damp,yellow,"It is constantly wracked by a headache. When the headache turns intense, it begins using mysterious powers.",8,54,psyduck,"https://assets.pokemon.com/assets/cms2/img/pokedex/detail/054.png",water,196
cloud-nine;damp,blue,"It appears by waterways at dusk. It may use telekinetic powers if its forehead glows mysteriously.",17,55,golduck,"https://assets.pokemon.com/assets/cms2/img/pokedex/detail/055.png",water,766
anger-point;vital-spirit,brown,"It’s unsafe to approach if it gets violently enraged for no reason and can’t distinguish friends from foes.",5,56,mankey,"https://assets.pokemon.com/assets/cms2/img/pokedex/detail/056.png",fighting,280
anger-point;vital-spirit,brown,"It stops being angry only when nobody else is around. To view this moment is very difficult.",10,57,primeape,"https://assets.pokemon.com/assets/cms2/img/pokedex/detail/057.png",fighting,320
flash-fire;intimidate,brown,"Very friendly and faithful to people. It will try to repel enemies by barking and biting.",7,58,growlithe,"https://assets.pokemon.com/assets/cms2/img/pokedex/detail/058.png",fire,190
flash-fire;intimidate,brown,"A Pokémon that has long been admired for its beauty. It runs agilely as if on wings.",19,59,arcanine,"https://assets.pokemon.com/assets/cms2/img/pokedex/detail/059.png",fire,1550
damp;water-absorb,blue,"Its slick black skin is thin and damp. A part of its internal organs can be seen through the skin as a spiral pattern.",6,60,poliwag,"https://assets.pokemon.com/assets/cms2/img/pokedex/detail/060.png",water,124
damp;water-absorb,blue,"It can live in or out of water. When out of water, it constantly sweats to keep its body slimy.",10,61,poliwhirl,"https://assets.pokemon.com/assets/cms2/img/pokedex/detail/061.png",water,200
damp;water-absorb,blue,"With its extremely tough muscles, it can keep swimming in the Pacific Ocean without resting.",13,62,poliwrath,"https://assets.pokemon.com/assets/cms2/img/pokedex/detail/062.png",fighting;water,540
inner-focus;synchronize,brown,"It sleeps for 18 hours a day. It uses a variety of extrasensory powers even while asleep.",9,63,abra,"https://assets.pokemon.com/assets/cms2/img/pokedex/detail/063.png",psychic,195
inner-focus;synchronize,brown,"When it uses its psychic power, it emits strong alpha waves that can ruin precision devices.",13,64,kadabra,"https://assets.pokemon.com/assets/cms2/img/pokedex/detail/064.png",psychic,565
inner-focus;synchronize,brown,"Its brain cells multiply continually until it dies. As a result, it remembers everything.",15,65,alakazam,"https://assets.pokemon.com/assets/cms2/img/pokedex/detail/065.png",psychic,480
no-guard;guts,gray,"It hefts a Graveler repeatedly to strengthen its entire body. It uses every type of martial arts.",8,66,machop,"https://assets.pokemon.com/assets/cms2/img/pokedex/detail/066.png",fighting,195
no-guard;guts,gray,"Its muscular body is so powerful, it must wear a power-save belt to be able to regulate its motions.",15,67,machoke,"https://assets.pokemon.com/assets/cms2/img/pokedex/detail/067.png",fighting,705
no-guard;guts,gray,"Its four ruggedly developed arms can launch a flurry of 1,000 punches in just two seconds.",16,68,machamp,"https://assets.pokemon.com/assets/cms2/img/pokedex/detail/068.png",fighting,1300
chlorophyll,green,"Even though its body is extremely skinny, it is blindingly fast when catching its prey.",7,69,bellsprout,"https://assets.pokemon.com/assets/cms2/img/pokedex/detail/069.png",poison;grass,40
chlorophyll,green,"The leafy parts act as cutters for slashing foes. It spits a fluid that dissolves everything.",10,70,weepinbell,"https://assets.pokemon.com/assets/cms2/img/pokedex/detail/070.png",poison;grass,64
chlorophyll,green,"Said to live in huge colonies deep in jungles, although no one has ever returned from there.",17,71,victreebel,"https://assets.pokemon.com/assets/cms2/img/pokedex/detail/071.png",poison;grass,155
liquid-ooze;clear-body,blue,"Its body is virtually composed of water. It shoots strange beams from its crystal-like eyes.",9,72,tentacool,"https://assets.pokemon.com/assets/cms2/img/pokedex/detail/072.png",poison;water,455
liquid-ooze;clear-body,blue,"The tentacles are normally kept short. On hunts, they are extended to ensnare and immobilize prey.",16,73,tentacruel,"https://assets.pokemon.com/assets/cms2/img/pokedex/detail/073.png",poison;water,550
sturdy;rock-head,brown,"Found in fields and mountains. Mistaking them for boulders, people often step or trip on them.",4,74,geodude,"https://assets.pokemon.com/assets/cms2/img/pokedex/detail/074.png",ground;rock,200
sturdy;rock-head,brown,"With a free and uncaring nature, it doesn’t mind if pieces break off while it rolls down mountains.",10,75,graveler,"https://assets.pokemon.com/assets/cms2/img/pokedex/detail/075.png",ground;rock,1050
sturdy;rock-head,brown,"It tumbles down mountains, leaving grooves from peak to base. Stay clear of these grooves.",14,76,golem,"https://assets.pokemon.com/assets/cms2/img/pokedex/detail/076.png",ground;rock,3000
flash-fire;run-away,yellow,"As a newborn, it can barely stand. However, through galloping, its legs are made tougher and faster.",10,77,ponyta,"https://assets.pokemon.com/assets/cms2/img/pokedex/detail/077.png",fire,300
flash-fire;run-away,yellow,"Very competitive, this Pokémon will chase anything that moves fast in the hopes of racing it.",17,78,rapidash,"https://assets.pokemon.com/assets/cms2/img/pokedex/detail/078.png",fire,950
own-tempo;oblivious,pink,"It is always vacantly lost in thought, but no one knows what it is thinking about. It is good at fishing with its tail.",12,79,slowpoke,"https://assets.pokemon.com/assets/cms2/img/pokedex/detail/079.png",psychic;water,360
own-tempo;oblivious,pink,"An attached Shellder won’t let go because of the tasty flavor that oozes out of its tail.",16,80,slowbro,"https://assets.pokemon.com/assets/cms2/img/pokedex/detail/080.png",psychic;water,785
sturdy;magnet-pull,gray,"The units at the sides of its body generate antigravity energy to keep it aloft in the air.",3,81,magnemite,"https://assets.pokemon.com/assets/cms2/img/pokedex/detail/081.png",steel;electric,60
sturdy;magnet-pull,gray,"A linked cluster formed of several Magnemite. It discharges powerful magnetic waves at high voltage.",10,82,magneton,"https://assets.pokemon.com/assets/cms2/img/pokedex/detail/082.png",steel;electric,600
inner-focus;keen-eye,brown,"The plant stalk it holds is its weapon. The stalk is used like a sword to cut all sorts of things.",8,83,farfetchd,"https://assets.pokemon.com/assets/cms2/img/pokedex/detail/083.png",flying;normal,150
early-bird;run-away,brown,"A two-headed Pokémon that was discovered as a sudden mutation. It runs at a pace of over 60 miles per hour.",14,84,doduo,"https://assets.pokemon.com/assets/cms2/img/pokedex/detail/084.png",flying;normal,392
early-bird;run-away,brown,"An enemy that takes its eyes off any of the three heads--even for a second--will get pecked severely.",18,85,dodrio,"https://assets.pokemon.com/assets/cms2/img/pokedex/detail/085.png",flying;normal,852
hydration;thick-fat,white,"A Pokémon that lives on icebergs. It swims in the sea using the point on its head to break up ice.",11,86,seel,"https://assets.pokemon.com/assets/cms2/img/pokedex/detail/086.png",water,900
hydration;thick-fat,white,"Its body is covered with a pure white fur. The colder the weather, the more active it becomes.",17,87,dewgong,"https://assets.pokemon.com/assets/cms2/img/pokedex/detail/087.png",ice;water,1200
sticky-hold;stench,purple,"Sludge exposed to X-rays from the moon transformed into Grimer. It loves feeding on filthy things.",9,88,grimer,"https://assets.pokemon.com/assets/cms2/img/pokedex/detail/088.png",poison,300
sticky-hold;stench,purple,"They love to gather in smelly areas where sludge accumulates, making the stench around them worse.",12,89,muk,"https://assets.pokemon.com/assets/cms2/img/pokedex/detail/089.png",poison,300
skill-link;shell-armor,purple,"Its hard shell repels any kind of attack. It is vulnerable only when its shell is open.",3,90,shellder,"https://assets.pokemon.com/assets/cms2/img/pokedex/detail/090.png",water,40
skill-link;shell-armor,purple,"Cloyster that live in seas with harsh tidal currents grow large, sharp spikes on their shells.",15,91,cloyster,"https://assets.pokemon.com/assets/cms2/img/pokedex/detail/091.png",ice;water,1325
levitate,purple,"Its body is made of gas. Despite lacking substance, it can envelop an opponent of any size and cause suffocation.",13,92,gastly,"https://assets.pokemon.com/assets/cms2/img/pokedex/detail/092.png",poison;ghost,1
levitate,purple,"If you get the feeling of being watched in darkness when nobody is around, Haunter is there.",16,93,haunter,"https://assets.pokemon.com/assets/cms2/img/pokedex/detail/093.png",poison;ghost,1
levitate,purple,"It hides in shadows. It is said that if Gengar is hiding, it cools the area by nearly 10 degrees Fahrenheit.",15,94,gengar,"https://assets.pokemon.com/assets/cms2/img/pokedex/detail/094.png",poison;ghost,405
sturdy;rock-head,gray,"Burrows at high speed in search of food. The tunnels it leaves are used as homes by Diglett.",88,95,onix,"https://assets.pokemon.com/assets/cms2/img/pokedex/detail/095.png",ground;rock,2100
forewarn;insomnia,yellow,"Puts enemies to sleep, then eats their dreams. Occasionally gets sick from eating only bad dreams.",10,96,drowzee,"https://assets.pokemon.com/assets/cms2/img/pokedex/detail/096.png",psychic,324
forewarn;insomnia,yellow,"It carries a pendulum-like device. There once was an incident in which it took away a child it hypnotized.",16,97,hypno,"https://assets.pokemon.com/assets/cms2/img/pokedex/detail/097.png",psychic,756
shell-armor;hyper-cutter,red,"If it senses danger approaching, it cloaks itself with bubbles from its mouth so it will look bigger.",4,98,krabby,"https://assets.pokemon.com/assets/cms2/img/pokedex/detail/098.png",water,65
shell-armor;hyper-cutter,red,"Its large and hard pincer has 10,000-horsepower strength. However, being so big, it is unwieldy to move.",13,99,kingler,"https://assets.pokemon.com/assets/cms2/img/pokedex/detail/099.png",water,600
static;soundproof,red,"It was discovered when Poké Balls were introduced. It is said that there is some connection.",5,100,voltorb,"https://assets.pokemon.com/assets/cms2/img/pokedex/detail/100.png",electric,104
static;soundproof,red,"It explodes in response to even minor stimuli. It is feared, with the nickname of “The Bomb Ball.”",12,101,electrode,"https://assets.pokemon.com/assets/cms2/img/pokedex/detail/101.png",electric,666
chlorophyll,pink,"Its six eggs converse using telepathy. They can quickly gather if they become separated.",4,102,exeggcute,"https://assets.pokemon.com/assets/cms2/img/pokedex/detail/102.png",psychic;grass,25
chlorophyll,yellow,"Its three heads think independently. However, they are friendly and never appear to squabble.",20,103,exeggutor,"https://assets.pokemon.com/assets/cms2/img/pokedex/detail/103.png",psychic;grass,1200
lightning-rod;rock-head,brown,"It wears the skull of its dead mother on its head. When it becomes lonesome, it is said to cry loudly.",4,104,cubone,"https://assets.pokemon.com/assets/cms2/img/pokedex/detail/104.png",ground,65
lightning-rod;rock-head,brown,"It is small and was originally very weak. Its temperament turned ferocious when it began using bones.",10,105,marowak,"https://assets.pokemon.com/assets/cms2/img/pokedex/detail/105.png",ground,450
reckless;limber,brown,"The legs freely contract and stretch. The stretchy legs allow it to hit a distant foe with a rising kick.",15,106,hitmonlee,"https://assets.pokemon.com/assets/cms2/img/pokedex/detail/106.png",fighting,498
iron-fist;keen-eye,brown,"The arm-twisting punches it throws pulverize even concrete. It rests after three minutes of fighting.",14,107,hitmonchan,"https://assets.pokemon.com/assets/cms2/img/pokedex/detail/107.png",fighting,502
oblivious;own-tempo,pink,"Its long tongue, slathered with a gooey saliva, sticks to anything, so it is very useful.",12,108,lickitung,"https://assets.pokemon.com/assets/cms2/img/pokedex/detail/108.png",normal,655
levitate,purple,"Its thin, balloon-like body is inflated by horribly toxic gases. It reeks when it is nearby.",6,109,koffing,"https://assets.pokemon.com/assets/cms2/img/pokedex/detail/109.png",poison,10
levitate,purple,"If one of the twin Koffing inflates, the other one deflates. It constantly mixes its poisonous gases.",12,110,weezing,"https://assets.pokemon.com/assets/cms2/img/pokedex/detail/110.png",poison,95
rock-head;lightning-rod,gray,"Strong, but not too bright, this Pokémon can shatter even a skyscraper with its charging Tackles.",10,111,rhyhorn,"https://assets.pokemon.com/assets/cms2/img/pokedex/detail/111.png",rock;ground,1150
rock-head;lightning-rod,gray,"Protected by an armor-like hide, it is capable of living in molten lava of 3,600 degrees Fahrenheit.",19,112,rhydon,"https://assets.pokemon.com/assets/cms2/img/pokedex/detail/112.png",rock;ground,1200
"serene-grace;natural-cure",pink,"It is said to deliver happiness. Being compassionate, it shares its eggs with injured people.",11,113,chansey,"https://assets.pokemon.com/assets/cms2/img/pokedex/detail/113.png",normal,346
leaf-guard;chlorophyll,blue,"Many writhing vines cover it, so its true identity remains unknown. The blue vines grow its whole life long.",10,114,tangela,"https://assets.pokemon.com/assets/cms2/img/pokedex/detail/114.png",grass,350
scrappy;early-bird,brown,"It raises its offspring in its belly pouch. It lets the baby out to play only when it feels safe.",22,115,kangaskhan,"https://assets.pokemon.com/assets/cms2/img/pokedex/detail/115.png",normal,800
sniper;swift-swim,blue,"Known to shoot down flying bugs with precision blasts of ink from the surface of the water.",4,116,horsea,"https://assets.pokemon.com/assets/cms2/img/pokedex/detail/116.png",water,80
sniper;poison-point,blue,"Its body bristles with sharp spikes. Carelessly trying to touch it could cause fainting from the spikes.",12,117,seadra,"https://assets.pokemon.com/assets/cms2/img/pokedex/detail/117.png",water,250
water-veil;swift-swim,red,"It swims at a steady 5 knots. If it senses danger, it will strike back with its sharp horn.",6,118,goldeen,"https://assets.pokemon.com/assets/cms2/img/pokedex/detail/118.png",water,150
water-veil;swift-swim,red,"In the autumn spawning season, they can be seen swimming powerfully up rivers and creeks.",13,119,seaking,"https://assets.pokemon.com/assets/cms2/img/pokedex/detail/119.png",water,390
natural-cure;illuminate,brown,"Even if its body is torn, it can regenerate as long as the glowing central core remains intact.",8,120,staryu,"https://assets.pokemon.com/assets/cms2/img/pokedex/detail/120.png",water,345
natural-cure;illuminate,purple,"Its central core glows with the seven colors of the rainbow. Some people value the core as a gem.",11,121,starmie,"https://assets.pokemon.com/assets/cms2/img/pokedex/detail/121.png",psychic;water,800
filter;soundproof,pink,"Emanations from its fingertips solidify the air into invisible walls that repel even harsh attacks.",13,122,mr-mime,"https://assets.pokemon.com/assets/cms2/img/pokedex/detail/122.png",fairy;psychic,545
technician;swarm,green,"It tears and shreds prey with its wickedly sharp scythes. It very rarely spreads its wings to fly.",15,123,scyther,"https://assets.pokemon.com/assets/cms2/img/pokedex/detail/123.png",flying;bug,560
forewarn;oblivious,red,"It wiggles its hips as it walks. It can cause people to dance in unison with it.",14,124,jynx,"https://assets.pokemon.com/assets/cms2/img/pokedex/detail/124.png",psychic;ice,406
static,yellow,"Electricity runs across the surface of its body. In darkness, its entire body glows a whitish blue.",11,125,electabuzz,"https://assets.pokemon.com/assets/cms2/img/pokedex/detail/125.png",electric,300
flame-body,red,"Found near the mouth of a volcano. This fire-breather’s body temperature is nearly 2,200 degrees Fahrenheit.",13,126,magmar,"https://assets.pokemon.com/assets/cms2/img/pokedex/detail/126.png",fire,445
"mold-breaker;hyper-cutter",brown,"It grips prey with its pincers until the prey is torn in half. What it can’t tear, it tosses far.",15,127,pinsir,"https://assets.pokemon.com/assets/cms2/img/pokedex/detail/127.png",bug,550
anger-point;intimidate,brown,"After heightening its will to fight by whipping itself with its three tails, it charges at full speed.",14,128,tauros,"https://assets.pokemon.com/assets/cms2/img/pokedex/detail/128.png",normal,884
swift-swim,red,"It is virtually worthless in terms of both power and speed. It is the most weak and pathetic Pokémon in the world.",9,129,magikarp,"https://assets.pokemon.com/assets/cms2/img/pokedex/detail/129.png",water,100
intimidate,blue,"In ancient literature, there is a record of a Gyarados that razed a village when violence flared.",65,130,gyarados,"https://assets.pokemon.com/assets/cms2/img/pokedex/detail/130.png",flying;water,2350
shell-armor;water-absorb,blue,"They have gentle hearts. Because they rarely fight, many have been caught. Their number has dwindled.",25,131,lapras,"https://assets.pokemon.com/assets/cms2/img/pokedex/detail/131.png",ice;water,2200
limber,purple,"It has the ability to reconstitute its entire cellular structure to transform into whatever it sees.",3,132,ditto,"https://assets.pokemon.com/assets/cms2/img/pokedex/detail/132.png",normal,40
adaptability;run-away,brown,"A rare Pokémon that adapts to harsh environments by taking on different evolutionary forms.",3,133,eevee,"https://assets.pokemon.com/assets/cms2/img/pokedex/detail/133.png",normal,65
water-absorb,blue,"It prefers beautiful shores. With cells similar to water molecules, it could melt in water.",10,134,vaporeon,"https://assets.pokemon.com/assets/cms2/img/pokedex/detail/134.png",water,290
volt-absorb,yellow,"Every hair on its body starts to stand sharply on end if it becomes charged with electricity.",8,135,jolteon,"https://assets.pokemon.com/assets/cms2/img/pokedex/detail/135.png",electric,245
flash-fire,red,"It has a flame sac in its body. Its body temperature tops 1,650 degrees Fahrenheit before battle.",9,136,flareon,"https://assets.pokemon.com/assets/cms2/img/pokedex/detail/136.png",fire,250
download;trace,pink,"A man-made Pokémon that came about as a result of research. It is programmed with only basic motions.",8,137,porygon,"https://assets.pokemon.com/assets/cms2/img/pokedex/detail/137.png",normal,365
shell-armor;swift-swim,blue,"A prehistoric Pokémon that lived in the primordial sea, it swims by twisting its 10 tentacles about.",4,138,omanyte,"https://assets.pokemon.com/assets/cms2/img/pokedex/detail/138.png",water;rock,75
shell-armor;swift-swim,blue,"Its tentacles are highly developed as if they are hands and feet. As soon as it ensnares prey, it bites.",10,139,omastar,"https://assets.pokemon.com/assets/cms2/img/pokedex/detail/139.png",water;rock,350
battle-armor;swift-swim,brown,"It is thought to have inhabited beaches 300 million years ago. It is protected by a stiff shell.",5,140,kabuto,"https://assets.pokemon.com/assets/cms2/img/pokedex/detail/140.png",water;rock,115
battle-armor;swift-swim,brown,"In the water, it tucks in its limbs to become more compact, then it wiggles its shell to swim fast.",13,141,kabutops,"https://assets.pokemon.com/assets/cms2/img/pokedex/detail/141.png",water;rock,405
pressure;rock-head,purple,"It was regenerated from a dinosaur’s genetic matter that was found in amber. It flies with high-pitched cries.",18,142,aerodactyl,"https://assets.pokemon.com/assets/cms2/img/pokedex/detail/142.png",flying;rock,590
thick-fat;immunity,black,"It is not satisfied unless it eats over 880 pounds of food every day. When it is done eating, it goes promptly to sleep.",21,143,snorlax,"https://assets.pokemon.com/assets/cms2/img/pokedex/detail/143.png",normal,4600
pressure,blue,"A legendary bird Pokémon. It can create blizzards by freezing moisture in the air.",17,144,articuno,"https://assets.pokemon.com/assets/cms2/img/pokedex/detail/144.png",flying;ice,554
pressure,yellow,"A legendary bird Pokémon that is said to appear from clouds while dropping enormous lightning bolts.",16,145,zapdos,"https://assets.pokemon.com/assets/cms2/img/pokedex/detail/145.png",flying;electric,526
